created_at,val_loss
2020-03-18 17:53:53.266756,
2020-03-18 17:53:53.325193,
2020-03-18 17:53:53.384500,
2020-03-18 17:53:53.444217,
2020-03-18 17:53:53.502609,
2020-03-18 17:53:53.567514,
2020-03-18 17:53:53.629318,
2020-03-18 17:53:53.690798,
2020-03-18 17:53:53.751841,
2020-03-18 17:53:53.810785,
2020-03-18 17:53:53.870793,
2020-03-18 17:53:53.931943,
2020-03-18 17:53:53.990440,
2020-03-18 17:53:54.050805,
2020-03-18 17:53:54.111499,
2020-03-18 17:53:54.179507,
2020-03-18 17:53:54.245001,
2020-03-18 17:53:54.303473,
2020-03-18 17:53:54.361521,
2020-03-18 17:53:54.418868,
2020-03-18 17:53:54.478731,
2020-03-18 17:53:54.537410,
2020-03-18 17:53:54.596876,
2020-03-18 17:53:54.654992,
2020-03-18 17:53:54.714436,
2020-03-18 17:53:54.775688,
2020-03-18 17:53:54.838822,
2020-03-18 17:53:54.901775,
2020-03-18 17:53:54.962585,
2020-03-18 17:53:55.023724,
2020-03-18 17:53:55.081228,
2020-03-18 17:53:55.140294,
2020-03-18 17:53:55.200015,
2020-03-18 17:53:55.259090,
2020-03-18 17:53:55.315989,
2020-03-18 17:53:55.378969,
2020-03-18 17:53:55.439577,
2020-03-18 17:53:55.502468,
2020-03-18 17:53:55.564862,
2020-03-18 17:53:55.625453,
2020-03-18 17:53:55.688493,
2020-03-18 17:53:55.748723,
2020-03-18 17:53:55.809572,
2020-03-18 17:53:55.869196,
2020-03-18 17:53:55.929400,
2020-03-18 17:53:55.989935,
2020-03-18 17:53:56.047514,
2020-03-18 17:53:56.106051,
2020-03-18 17:53:56.164435,
2020-03-18 17:53:56.224222,
2020-03-18 17:53:56.284066,
2020-03-18 17:53:56.346697,
2020-03-18 17:53:56.405364,
2020-03-18 17:53:56.464387,
2020-03-18 17:53:56.524192,
2020-03-18 17:53:56.588763,
2020-03-18 17:53:56.647201,
2020-03-18 17:53:56.705464,
2020-03-18 17:53:56.761722,
